customer_id,name,signup_date,channel,country
C0145,Isha Smith,2025-01-15,email,US
C0146,Ethan Lopez,2025-04-19,social,US
C0147,Emma Nguyen,2025-05-22,referral,US
C0148,Priya Patel,2025-05-04,email,IN
C0149,Arjun Brown,2025-09-01,email,IN
C0150,Ava Patel,2025-05-31,paid_search,IN
C0151,Arjun Nguyen,2025-10-25,social,IN
C0152,Mason Khan,2025-10-09,social,US
C0153,Nina Nguyen,2025-06-06,social,US
C0154,Noah Brown,2025-04-09,social,US
C0155,Ethan Kim,2025-04-21,email,US
C0156,Lucas Patel,2025-04-10,social,US
C0157,Mason Garcia,2025-06-04,organic,CA
C0158,Zoe Nguyen,2025-01-24,organic,UK
C0159,Lucas Brown,2025-03-06,email,US
C0160,Ava Das,2025-05-26,email,IN
C0161,Nina Smith,2025-04-05,organic,US
C0162,Omar Patel,2025-02-03,email,IN
C0163,Maya Das,2025-01-28,paid_search,US
C0164,Lucas Patel,2025-05-08,organic,UK
C0165,Ravi Das,2025-04-26,referral,IN
C0166,Nina Lopez,2025-06-02,referral,IN
C0167,Lucas Das,2025-01-31,referral,CA
C0168,Noah Kim,2025-04-19,social,CA
C0169,Maya Garcia,2025-05-03,paid_search,UK
C0170,Maya Garcia,2025-01-02,email,IN
C0171,Omar Nguyen,2025-01-17,paid_search,US
C0172,Lucas Brown,2025-08-21,organic,CA
C0173,Arjun Nguyen,2025-04-12,email,US
C0174,Arjun Ali,2025-03-18,social,US
C0175,Maya Sharma,2025-03-26,social,UK
C0176,Lucas Lopez,2025-03-05,email,CA
C0177,Lucas Brown,2025-07-26,social,UK
C0178,Omar Lopez,2025-02-11,referral,US
C0179,Ravi Brown,2025-06-15,referral,US
C0180,Ava Patel,2025-04-28,referral,UK
C0181,Ava Ali,2025-05-18,referral,US
C0182,Ethan Lopez,2025-09-23,email,US
C0183,Ethan Das,2025-08-12,email,US
C0184,Omar Smith,2025-07-29,social,US
C0185,Noah Garcia,2025-06-18,email,CA
C0186,Omar Nguyen,2025-07-25,referral,US
C0187,Nina Patel,2025-06-11,social,US
C0188,Noah Khan,2025-09-21,organic,CA
C0189,Nina Khan,2025-01-28,paid_search,UK
C0190,Mason Das,2025-09-13,email,US
C0191,Priya Nguyen,2025-10-09,paid_search,US
C0192,Nina Brown,2025-09-06,organic,US
C0193,Arjun Brown,2025-03-23,social,UK
C0194,Ava Chen,2025-07-28,organic,US
C0195,Noah Lopez,2025-03-02,paid_search,IN
C0196,Lucas Chen,2025-05-20,email,IN
C0197,Omar Kim,2025-08-22,referral,US
C0198,Isha Kim,2025-09-18,paid_search,US
C0199,Sofia Khan,2025-06-24,referral,US
C0200,Ava Nguyen,2025-06-02,referral,UK
C0201,Omar Garcia,2025-08-17,referral,IN
C0202,Mason Smith,2025-10-10,referral,IN
C0203,Nina Smith,2025-04-07,paid_search,UK
C0204,Isha Kim,2025-07-30,organic,US
C0205,Omar Brown,2025-07-15,email,CA
C0206,Zoe Lopez,2025-01-19,paid_search,UK
C0207,Emma Patel,2025-08-14,organic,UK
C0208,Nina Sharma,2025-03-15,email,CA
C0209,Zoe Patel,2025-08-29,social,US
C0210,Isha Ali,2025-02-11,social,CA
C0211,Isha Smith,2025-09-07,referral,US
C0212,Maya Kim,2025-05-28,paid_search,CA
C0213,Maya Khan,2025-02-20,organic,IN
C0214,Ethan Brown,2025-06-03,organic,US
C0215,Emma Sharma,2025-05-31,social,US
C0216,Ravi Garcia,2025-05-06,referral,IN
C0217,Ethan Garcia,2025-03-31,organic,UK
C0218,Isha Das,2025-05-04,email,UK
C0219,Zoe Kim,2025-08-25,social,IN
C0220,Sofia Ali,2025-01-05,email,US
C0221,Ethan Patel,2025-08-15,social,UK
C0222,Lucas Ali,2025-08-06,social,IN
C0223,Lucas Kim,2025-07-16,email,US
C0224,Arjun Khan,2025-10-20,social,UK
C0225,Lucas Brown,2025-06-01,organic,CA
C0226,Isha Nguyen,2025-01-05,referral,CA
C0227,Liam Das,2025-09-12,social,US
C0228,Mason Kim,2025-04-08,referral,US
C0229,Zoe Ali,2025-02-19,organic,US
C0230,Nina Sharma,2025-10-24,social,CA
C0231,Zoe Patel,2025-06-01,social,CA
C0232,Ravi Garcia,2025-04-13,paid_search,UK
C0233,Mason Chen,2025-09-14,social,US
C0234,Sofia Lopez,2025-06-01,social,US
C0235,Nina Patel,2025-03-14,paid_search,CA
C0236,Isha Chen,2025-07-07,organic,IN
C0237,Ava Nguyen,2025-10-02,organic,IN
C0238,Mason Ali,2025-05-15,referral,IN
C0239,Mason Patel,2025-04-30,email,US
C0240,Emma Das,2025-04-24,organic,CA
C0241,Nina Brown,2025-06-04,email,US
C0242,Zoe Sharma,2025-01-20,social,IN
C0243,Noah Patel,2025-05-01,referral,US
C0244,Isha Lopez,2025-07-09,referral,IN
C0245,Zoe Khan,2025-02-20,email,UK
C0246,Ravi Nguyen,2025-01-17,social,US
C0247,Nina Lopez,2025-05-01,social,US
C0248,Mason Chen,2025-07-03,organic,IN
C0249,Sofia Kim,2025-03-04,email,US
C0250,Priya Ali,2025-01-11,organic,US
C0251,Arjun Garcia,2025-10-17,paid_search,US
C0252,Priya Das,2025-04-21,paid_search,US
C0253,Zoe Das,2025-01-02,social,US
C0254,Zoe Chen,2025-05-09,paid_search,US
C0255,Ava Garcia,2025-01-08,social,US
C0256,Emma Sharma,2025-03-31,social,US
C0257,Zoe Brown,2025-08-04,referral,US
C0258,Maya Lopez,2025-08-18,social,UK
C0259,Noah Lopez,2025-09-15,paid_search,UK
C0260,Liam Brown,2025-09-24,social,IN
C0261,Ava Sharma,2025-09-03,email,IN
C0262,Noah Lopez,2025-08-16,organic,US
C0263,Emma Das,2025-03-17,organic,US
C0264,Sofia Das,2025-10-27,referral,CA
C0265,Emma Khan,2025-09-29,social,IN
C0266,Ravi Patel,2025-02-28,referral,CA
C0267,Priya Khan,2025-08-20,paid_search,IN
C0268,Emma Lopez,2025-07-24,email,CA
C0269,Noah Smith,2025-08-07,social,CA
C0270,Sofia Smith,2025-03-20,email,US
C0271,Maya Patel,2025-02-17,email,US
C0272,Mason Garcia,2025-10-12,organic,UK
C0273,Emma Ali,2025-03-04,email,US
C0274,Ravi Brown,2025-01-27,social,UK
C0275,Lucas Smith,2025-02-23,referral,UK
C0276,Priya Garcia,2025-09-04,paid_search,US
C0277,Mason Chen,2025-07-08,organic,US
C0278,Arjun Khan,2025-10-15,referral,UK
C0279,Ava Das,2025-05-17,organic,US
C0280,Sofia Brown,2025-06-08,social,US
C0281,Ava Garcia,2025-03-15,referral,CA
C0282,Isha Patel,2025-03-14,organic,US
C0283,Priya Khan,2025-08-03,email,US
C0284,Ethan Smith,2025-06-09,social,UK
C0285,Maya Sharma,2025-03-21,paid_search,UK
C0286,Liam Ali,2025-02-11,social,IN
C0287,Ravi Lopez,2025-08-15,email,US
C0288,Priya Chen,2025-02-28,social,IN
C0289,Noah Nguyen,2025-09-07,referral,CA
C0290,Lucas Sharma,2025-04-23,email,UK
C0291,Liam Sharma,2025-04-15,social,US
C0292,Zoe Nguyen,2025-05-29,social,US
C0293,Ava Lopez,2025-08-09,paid_search,US
C0294,Isha Chen,2025-04-28,referral,UK
C0295,Mason Patel,2025-07-23,organic,IN
C0296,Ava Lopez,2025-02-09,social,UK
C0297,Ravi Das,2025-07-27,email,US
C0298,Noah Khan,2025-01-11,social,US
C0299,Nina Brown,2025-07-05,organic,IN
C0300,Noah Kim,2025-08-12,referral,IN
C0301,Maya Khan,2025-06-08,social,US
C0302,Emma Garcia,2025-02-09,referral,CA
C0303,Noah Chen,2025-09-19,paid_search,US
C0304,Mason Brown,2025-03-17,paid_search,US
C0305,Zoe Nguyen,2025-04-12,paid_search,UK
C0306,Zoe Ali,2025-02-08,paid_search,CA
C0307,Omar Lopez,2025-10-16,referral,IN
C0308,Emma Ali,2025-06-11,paid_search,IN
C0309,Maya Lopez,2025-08-15,social,US
C0310,Liam Smith,2025-09-17,organic,US
C0311,Nina Lopez,2025-01-20,organic,US
C0312,Lucas Patel,2025-02-16,referral,UK
C0313,Isha Lopez,2025-10-25,referral,CA
C0314,Liam Lopez,2025-10-20,paid_search,US
C0315,Omar Chen,2025-03-19,organic,IN
C0316,Noah Smith,2025-02-13,referral,CA
C0317,Ethan Sharma,2025-05-07,email,IN
C0318,Ethan Smith,2025-07-10,social,IN
C0319,Ravi Smith,2025-01-27,social,US
C0320,Emma Patel,2025-10-13,email,US
C0321,Sofia Brown,2025-03-18,social,US
C0322,Zoe Smith,2025-06-08,email,US
C0323,Maya Nguyen,2025-10-14,email,CA
C0324,Emma Garcia,2025-09-27,organic,CA
C0325,Ravi Chen,2025-07-05,organic,US
C0326,Lucas Garcia,2025-04-20,social,IN
C0327,Priya Kim,2025-03-12,paid_search,US
C0328,Lucas Patel,2025-09-17,referral,CA
C0329,Liam Ali,2025-06-22,referral,US
C0330,Isha Garcia,2025-03-25,paid_search,CA
C0331,Ethan Brown,2025-08-13,organic,IN
C0332,Mason Ali,2025-05-02,email,UK
C0333,Lucas Brown,2025-08-18,paid_search,UK
C0334,Arjun Nguyen,2025-08-29,paid_search,US
C0335,Nina Lopez,2025-05-25,email,UK
C0336,Ravi Garcia,2025-04-13,referral,US
C0337,Sofia Sharma,2025-09-04,social,UK
C0338,Noah Brown,2025-09-22,organic,US
C0339,Maya Garcia,2025-05-20,email,UK
C0340,Zoe Khan,2025-02-16,paid_search,IN
C0341,Mason Sharma,2025-08-01,organic,IN
C0342,Mason Kim,2025-07-17,organic,US
C0343,Arjun Sharma,2025-06-13,organic,CA
C0344,Emma Garcia,2025-03-12,organic,US
C0345,Omar Brown,2025-03-13,email,IN
C0346,Ava Patel,2025-01-10,social,US
C0347,Zoe Chen,2025-09-28,email,US
C0348,Lucas Kim,2025-06-04,organic,US
C0349,Arjun Khan,2025-08-23,organic,US
C0350,Omar Das,2025-10-02,organic,CA
C0351,Arjun Brown,2025-03-15,social,IN
C0352,Ava Das,2025-06-30,paid_search,UK
C0353,Ravi Garcia,2025-02-13,referral,US
C0354,Maya Chen,2025-10-06,referral,UK
C0355,Ava Khan,2025-08-29,organic,CA
C0356,Isha Smith,2025-05-10,organic,US
C0357,Maya Smith,2025-05-04,organic,UK
C0358,Emma Garcia,2025-01-23,social,UK
C0359,Emma Ali,2025-03-31,email,CA
C0360,Omar Ali,2025-04-04,paid_search,US
C0361,Nina Sharma,2025-05-31,paid_search,US
C0362,Priya Sharma,2025-06-11,social,UK
C0363,Isha Chen,2025-08-31,social,US
C0364,Priya Nguyen,2025-07-02,organic,CA
C0365,Emma Nguyen,2025-03-05,social,IN
C0366,Isha Brown,2025-08-14,email,US
C0367,Ethan Lopez,2025-09-12,social,UK
C0368,Sofia Patel,2025-08-06,organic,IN
C0369,Ethan Chen,2025-05-31,social,US
C0370,Maya Smith,2025-06-01,social,IN
C0371,Ravi Garcia,2025-08-16,social,IN
C0372,Liam Brown,2025-06-30,referral,IN
C0373,Sofia Ali,2025-01-30,organic,CA
C0374,Isha Smith,2025-09-20,paid_search,US
C0375,Zoe Das,2025-08-13,organic,US
C0376,Maya Kim,2025-07-07,social,IN
C0377,Liam Das,2025-03-20,email,US
C0378,Mason Lopez,2025-02-09,referral,US
C0379,Mason Khan,2025-06-10,social,US
C0380,Noah Sharma,2025-04-06,email,UK
C0381,Isha Chen,2025-03-02,social,US
C0382,Nina Kim,2025-05-27,email,US
C0383,Noah Garcia,2025-02-07,email,US
C0384,Nina Patel,2025-06-13,social,CA
C0385,Maya Chen,2025-10-05,social,US
C0386,Ethan Brown,2025-03-31,social,UK
C0387,Arjun Patel,2025-04-13,paid_search,US
C0388,Omar Sharma,2025-07-04,referral,UK
C0389,Mason Lopez,2025-10-10,paid_search,UK
C0390,Maya Patel,2025-06-08,email,CA
C0391,Omar Chen,2025-07-30,email,UK
C0392,Maya Garcia,2025-06-12,organic,IN
C0393,Nina Ali,2025-09-22,social,US
C0394,Ethan Garcia,2025-08-10,referral,US
C0395,Noah Chen,2025-03-20,social,US
C0396,Ethan Smith,2025-04-26,social,UK
C0397,Lucas Patel,2025-05-09,paid_search,CA
C0398,Sofia Garcia,2025-06-05,referral,UK
C0399,Maya Chen,2025-03-28,referral,UK
C0400,Zoe Garcia,2025-06-22,referral,US
